Experiment,Tag,Seed,Trigger,Arch_Pair,L_Mode,Tau,Dist_Ep,Temp,V_Temp,RW,Delta,D_Min,Beta,NQ,Trig_Size,T_Acc,Base_Acc,Design,Base_Sig,Base_P,Base_Ver,FT1%_Acc,FT1%_Sig,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Sig,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Sig,FT10%_P,FT10%_Ver,P_Gap,FP_Rate,Min_P,Median_P,PRUNE_25%_Acc,PRUNE_25%_DeltaPP,PRUNE_25%_Sig,PRUNE_25%_P,PRUNE_25%_Log10P,PRUNE_25%_Ver,PRUNE_25%_P_MR,PRUNE_25%_P_ST1,PRUNE_50%_Acc,PRUNE_50%_DeltaPP,PRUNE_50%_Sig,PRUNE_50%_P,PRUNE_50%_Log10P,PRUNE_50%_Ver,PRUNE_50%_P_MR,PRUNE_50%_P_ST1,PRUNE_75%_Acc,PRUNE_75%_DeltaPP,PRUNE_75%_Sig,PRUNE_75%_P,PRUNE_75%_Log10P,PRUNE_75%_Ver,PRUNE_75%_P_MR,PRUNE_75%_P_ST1,INT8_QUANT_Acc,INT8_QUANT_DeltaPP,INT8_QUANT_Sig,INT8_QUANT_P,INT8_QUANT_Log10P,INT8_QUANT_Ver,INT8_QUANT_P_MR,INT8_QUANT_P_ST1
ExpA12_OwnDataMain,c100v5_own_resnet56_resnet20,N/A,OWN,resnet56 -> resnet20,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.5,50000,4967,72.6%,51.2%,mean_rest,0.0004,1.9e-16,False,51.0%,0.0005,2.5e-25,True,51.4%,0.0004,7.6e-27,True,51.8%,0.0003,4.0e-23,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA12_OwnDataMain,c100v5_own_resnet56_resnet56,N/A,OWN,resnet56 -> resnet56,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.5,50000,4898,72.6%,58.6%,mean_rest,0.0005,3.0e-29,True,58.2%,0.0006,1.0e-38,True,58.5%,0.0005,1.5e-31,True,59.1%,0.0004,1.6e-23,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA12_OwnDataMain,c100v5_own_vgg11_vgg11,N/A,OWN,vgg11 -> vgg11,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.5,50000,4878,70.8%,54.4%,mean_rest,0.0006,2.9e-70,True,51.6%,0.0005,4.9e-54,True,51.9%,0.0004,9.3e-67,True,52.2%,0.0004,1.2e-61,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA13_OwnDataTest,c100v5_own_test_resnet56_resnet56,N/A,OWN,resnet56 -> resnet56,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.5,50000,1035,72.6%,58.9%,mean_rest,0.0005,1.4e-05,False,58.5%,0.0005,1.0e-05,False,59.0%,0.0005,3.9e-05,False,59.2%,0.0004,5.4e-04,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet20_T1,N/A,REC,resnet56 -> resnet20,soft,N/A,160,1,15.0,0.1,15.0,N/A,0.7,50000,5110,72.6%,45.9%,mean_rest,0.0003,1.0e+00,False,45.8%,0.0003,1.0e+00,False,47.5%,0.0003,1.0e+00,False,47.8%,0.0002,1.0e+00,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet20_T1_b0.7_d15.0,N/A,REC,resnet56 -> resnet20,soft,N/A,160,1,15.0,0.1,15.0,N/A,0.7,50000,5165,72.6%,46.8%,mean_rest,0.0036,0.0e+00,True,46.5%,0.0033,0.0e+00,True,48.0%,0.0031,0.0e+00,True,48.5%,0.0029,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet20_T3_b0.7_d15.0,N/A,REC,resnet56 -> resnet20,soft,N/A,160,3,15.0,0.1,15.0,N/A,0.7,50000,4953,72.6%,51.0%,mean_rest,0.0033,0.0e+00,True,50.2%,0.0029,0.0e+00,True,50.8%,0.0025,0.0e+00,True,51.5%,0.0020,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet20_T3,N/A,REC,resnet56 -> resnet20,soft,N/A,160,3,15.0,0.1,15.0,N/A,0.7,50000,5118,72.6%,51.2%,mean_rest,0.0014,2.2e-273,True,50.6%,0.0012,5.1e-240,True,51.2%,0.0010,1.2e-203,True,51.7%,0.0008,2.9e-165,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet20_T5,N/A,REC,resnet56 -> resnet20,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.5,50000,4892,72.6%,53.2%,mean_rest,0.0011,1.5e-190,True,52.4%,0.0010,1.9e-157,True,53.2%,0.0008,2.3e-144,True,53.7%,0.0006,2.9e-121,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c100v5_resnet56_resnet20_T5_b0.7_d15.0,N/A,REC,resnet56 -> resnet20,soft,N/A,160,5,15.0,0.1,15.0,N/A,0.7,50000,5034,72.6%,52.0%,mean_rest,0.0023,0.0e+00,True,51.1%,0.0021,0.0e+00,True,51.7%,0.0016,0.0e+00,True,52.5%,0.0014,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
