Experiment,Tag,Seed,Trigger,Arch_Pair,L_Mode,Tau,Dist_Ep,Temp,V_Temp,RW,Delta,D_Min,Beta,NQ,Trig_Size,T_Acc,Base_Acc,Design,Base_Sig,Base_P,Base_Ver,FT1%_Acc,FT1%_Sig,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Sig,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Sig,FT10%_P,FT10%_Ver,PRUNE_25%_Acc,PRUNE_50%_Acc,PRUNE_75%_Acc,INT8_QUANT_Acc
ExpB1_BGS_Adaptive,c100v5_bgs_q010_resnet56_resnet20,N/A,REC,resnet56 -> resnet20,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,447,72.6%,44.6%,mean_rest,95.75%,0.0e+00,True,45.9%,96.20%,0.0e+00,True,46.8%,89.49%,0.0e+00,True,47.5%,81.88%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB1_BGS_Adaptive,c100v5_bgs_q010_resnet56_resnet56,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,583,72.6%,47.9%,mean_rest,97.77%,0.0e+00,True,48.9%,99.14%,0.0e+00,True,50.1%,98.11%,0.0e+00,True,51.0%,98.11%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB1_BGS_Adaptive,c100v5_bgs_q010_vgg11_vgg11,N/A,REC,vgg11 -> vgg11,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,619,70.8%,42.4%,mean_rest,95.15%,0.0e+00,True,34.8%,78.35%,0.0e+00,True,34.2%,74.64%,0.0e+00,True,35.6%,75.44%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB2_BGS_QSweep,c100v5_bgs_qsweep_0.20,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,1057,72.6%,49.7%,mean_rest,97.82%,0.0e+00,True,50.8%,98.20%,0.0e+00,True,51.9%,97.54%,0.0e+00,True,52.6%,97.07%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB2_BGS_QSweep,c100v5_bgs_qsweep_0.05,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,139,72.6%,50.7%,mean_rest,97.12%,1.4e-263,True,51.6%,99.28%,1.4e-274,True,52.2%,99.28%,1.4e-274,True,53.1%,100.00%,1.0e-278,True,N/A,N/A,N/A,N/A
ExpB2_BGS_QSweep,c100v5_bgs_qsweep_0.10,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,320,72.6%,50.7%,mean_rest,98.44%,0.0e+00,True,51.6%,99.06%,0.0e+00,True,52.5%,99.38%,0.0e+00,True,53.1%,98.44%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB2_BGS_QSweep,c100v5_bgs_qsweep_0.30,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,1586,72.6%,49.7%,mean_rest,98.11%,0.0e+00,True,50.7%,98.30%,0.0e+00,True,51.5%,97.98%,0.0e+00,True,52.5%,96.47%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB3_BGS_TauSweep,c100v5_bgs_tau_0.5,N/A,REC,resnet56 -> resnet56,hard(bgs),0.5,160,1,15.0,0.1,15.0,N/A,0.5,50000,0,72.6%,49.5%,mean_rest,0.00%,1.0e+00,False,51.7%,0.00%,1.0e+00,False,52.5%,0.00%,1.0e+00,False,53.2%,0.00%,1.0e+00,False,N/A,N/A,N/A,N/A
ExpB3_BGS_TauSweep,c100v5_bgs_tau_1.0,N/A,REC,resnet56 -> resnet56,hard(bgs),1.0,160,1,15.0,0.1,15.0,N/A,0.5,50000,0,72.6%,49.2%,mean_rest,0.00%,1.0e+00,False,50.5%,0.00%,1.0e+00,False,52.1%,0.00%,1.0e+00,False,52.8%,0.00%,1.0e+00,False,N/A,N/A,N/A,N/A
ExpB3_BGS_TauSweep,c100v5_bgs_tau_1.5,N/A,REC,resnet56 -> resnet56,hard(bgs),1.5,160,1,15.0,0.1,15.0,N/A,0.5,50000,4,72.6%,49.1%,mean_rest,100.00%,1.0e-08,False,50.6%,100.00%,1.0e-08,False,51.7%,100.00%,1.0e-08,False,52.3%,100.00%,1.0e-08,False,N/A,N/A,N/A,N/A
ExpB3_BGS_TauSweep,c100v5_bgs_tau_2.0,N/A,REC,resnet56 -> resnet56,hard(bgs),2.0,160,1,15.0,0.1,15.0,N/A,0.5,50000,1,72.6%,50.5%,mean_rest,100.00%,1.0e-02,False,51.4%,100.00%,1.0e-02,False,52.5%,100.00%,1.0e-02,False,53.1%,100.00%,1.0e-02,False,N/A,N/A,N/A,N/A
ExpB3_BGS_TauSweep,c100v5_bgs_tau_3.0,N/A,REC,resnet56 -> resnet56,hard(bgs),3.0,160,1,15.0,0.1,15.0,N/A,0.5,50000,11,72.6%,50.0%,mean_rest,100.00%,1.0e-22,True,51.9%,100.00%,1.0e-22,True,52.8%,100.00%,1.0e-22,True,53.6%,100.00%,1.0e-22,True,N/A,N/A,N/A,N/A
ExpB4_BGS_RWSweep,c100v5_bgs_rw_0.05,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.05,15.0,N/A,0.5,50000,275,72.6%,49.1%,mean_rest,97.82%,0.0e+00,True,50.5%,98.18%,0.0e+00,True,51.2%,97.82%,0.0e+00,True,52.1%,97.45%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB4_BGS_RWSweep,c100v5_bgs_rw_0.10,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,473,72.6%,49.3%,mean_rest,97.46%,0.0e+00,True,50.4%,98.94%,0.0e+00,True,51.4%,97.67%,0.0e+00,True,51.8%,95.35%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB4_BGS_RWSweep,c100v5_bgs_rw_0.20,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.2,15.0,N/A,0.5,50000,955,72.6%,49.7%,mean_rest,99.27%,0.0e+00,True,50.7%,99.27%,0.0e+00,True,51.8%,98.32%,0.0e+00,True,51.9%,98.32%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB4_BGS_RWSweep,c100v5_bgs_rw_0.50,N/A,REC,resnet56 -> resnet56,hard(bgs),N/A,160,1,15.0,0.5,15.0,N/A,0.5,50000,2604,72.6%,48.4%,mean_rest,97.89%,0.0e+00,True,49.8%,99.12%,0.0e+00,True,51.0%,97.16%,0.0e+00,True,51.3%,95.31%,0.0e+00,True,N/A,N/A,N/A,N/A
ExpB5_Plain_Baseline,c100v5_fp_plain_resnet56_resnet56,N/A,REC,resnet56 -> resnet56,hard(plain),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,0,72.6%,50.8%,mean_rest,0.00%,1.0e+00,False,51.4%,0.00%,1.0e+00,False,52.1%,0.00%,1.0e+00,False,52.7%,0.00%,1.0e+00,False,N/A,N/A,N/A,N/A
ExpB5_Plain_Baseline,c100v5_fp_plain_vgg11_vgg11,N/A,REC,vgg11 -> vgg11,hard(plain),N/A,160,1,15.0,0.1,15.0,N/A,0.5,50000,0,70.8%,44.3%,mean_rest,0.00%,1.0e+00,False,40.3%,0.00%,1.0e+00,False,39.9%,0.00%,1.0e+00,False,41.1%,0.00%,1.0e+00,False,N/A,N/A,N/A,N/A
