Experiment,Tag,Seed,Trigger,Arch_Pair,L_Mode,Tau,Dist_Ep,Temp,V_Temp,RW,Delta,D_Min,Beta,NQ,Trig_Size,T_Acc,Base_Acc,Design,Base_Sig,Base_P,Base_Ver,FT1%_Acc,FT1%_Sig,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Sig,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Sig,FT10%_P,FT10%_Ver,P_Gap,FP_Rate,Min_P,Median_P,PRUNE_25%_Acc,PRUNE_25%_DeltaPP,PRUNE_25%_Sig,PRUNE_25%_P,PRUNE_25%_Log10P,PRUNE_25%_Ver,PRUNE_25%_P_MR,PRUNE_25%_P_ST1,PRUNE_50%_Acc,PRUNE_50%_DeltaPP,PRUNE_50%_Sig,PRUNE_50%_P,PRUNE_50%_Log10P,PRUNE_50%_Ver,PRUNE_50%_P_MR,PRUNE_50%_P_ST1,PRUNE_75%_Acc,PRUNE_75%_DeltaPP,PRUNE_75%_Sig,PRUNE_75%_P,PRUNE_75%_Log10P,PRUNE_75%_Ver,PRUNE_75%_P_MR,PRUNE_75%_P_ST1,INT8_QUANT_Acc,INT8_QUANT_DeltaPP,INT8_QUANT_Sig,INT8_QUANT_P,INT8_QUANT_Log10P,INT8_QUANT_Ver,INT8_QUANT_P_MR,INT8_QUANT_P_ST1
ExpA12_OwnDataMain,c10v5_own_resnet20_resnet20,N/A,OWN,resnet20 -> resnet20,soft,N/A,80,5,10.0,0.1,5.0,N/A,0.5,50000,5046,92.6%,83.8%,mean_rest,0.0066,2.0e-33,True,83.8%,0.0065,4.2e-30,True,83.8%,0.0061,6.8e-30,True,83.7%,0.0061,1.4e-28,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA12_OwnDataMain,c10v5_own_resnet20_vgg11,N/A,OWN,resnet20 -> vgg11,soft,N/A,80,5,10.0,0.1,5.0,N/A,0.5,50000,4971,92.6%,86.2%,mean_rest,0.0075,3.0e-113,True,86.1%,0.0063,4.8e-139,True,86.2%,0.0062,2.0e-118,True,86.4%,0.0062,2.5e-114,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA12_OwnDataMain,c10v5_own_vgg11_vgg11,N/A,OWN,vgg11 -> vgg11,soft,N/A,80,5,10.0,0.1,5.0,N/A,0.5,50000,5053,92.8%,84.7%,mean_rest,0.0067,1.6e-151,True,83.9%,0.0049,2.6e-142,True,84.2%,0.0049,9.1e-151,True,83.8%,0.0047,6.5e-137,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA13_OwnDataTest,c10v5_own_test_resnet20_resnet20,N/A,OWN,resnet20 -> resnet20,soft,N/A,80,5,10.0,0.1,5.0,N/A,0.5,50000,1024,92.6%,83.6%,mean_rest,0.0064,1.5e-03,False,83.5%,0.0053,5.4e-02,False,83.8%,0.0051,9.2e-02,False,83.6%,0.0038,3.1e-01,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_resnet20_resnet20_T1_b0.5_d5.0,N/A,REC,resnet20 -> resnet20,soft,N/A,80,1,10.0,0.1,5.0,N/A,0.5,50000,4929,92.6%,82.7%,mean_rest,0.0198,0.0e+00,True,82.8%,0.0195,0.0e+00,True,82.7%,0.0193,0.0e+00,True,83.0%,0.0186,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_resnet20_resnet20_T3_b0.5_d5.0,N/A,REC,resnet20 -> resnet20,soft,N/A,80,3,10.0,0.1,5.0,N/A,0.5,50000,4995,92.6%,83.9%,mean_rest,0.0143,0.0e+00,True,83.8%,0.0138,0.0e+00,True,83.6%,0.0131,9.6e-298,True,84.0%,0.0112,8.7e-207,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_resnet20_resnet20_T5_b0.5_d5.0,N/A,REC,resnet20 -> resnet20,soft,N/A,80,5,10.0,0.1,5.0,N/A,0.5,50000,5075,92.6%,84.4%,mean_rest,0.0145,0.0e+00,True,84.1%,0.0143,3.4e-297,True,84.2%,0.0139,6.9e-284,True,84.1%,0.0136,1.5e-285,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_resnet20_resnet20_T10_b0.5_d5.0,N/A,REC,resnet20 -> resnet20,soft,N/A,80,10,10.0,0.1,5.0,N/A,0.5,50000,4929,92.6%,84.8%,mean_rest,0.0170,0.0e+00,True,84.8%,0.0160,4.2e-305,True,84.7%,0.0153,1.5e-301,True,84.5%,0.0146,1.6e-278,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_resnet20_vgg11_T1_b0.5_d5.0,N/A,REC,resnet20 -> vgg11,soft,N/A,80,1,10.0,0.1,5.0,N/A,0.5,50000,4933,92.6%,84.2%,mean_rest,0.0135,0.0e+00,True,83.8%,0.0134,0.0e+00,True,83.7%,0.0127,0.0e+00,True,83.9%,0.0125,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ExpA1_MainTable,c10v5_resnet20_vgg11_T3_b0.5_d5.0,N/A,REC,resnet20 -> vgg11,soft,N/A,80,3,10.0,0.1,5.0,N/A,0.5,50000,4949,92.6%,85.6%,mean_rest,0.0098,1.6e-282,True,85.5%,0.0092,0.0e+00,True,85.5%,0.0086,0.0e+00,True,85.3%,0.0082,2.0e-285,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
